start_station_name,rides
W 21 St & 6 Ave,11891
1 Ave & E 68 St,10376
E 17 St & Broadway,9590
University Pl & E 14 St,8724
E 33 St & 1 Ave,8670
Broadway & E 21 St,8562
Broadway & W 58 St,8543
8 Ave & W 33 St,8069
6 Ave & W 33 St,7835
Clinton St & Grand St,7621
Broadway & E 14 St,7596
Cleveland Pl & Spring St,7507
11 Ave & W 41 St,7453
9 Ave & W 22 St,7331
W 31 St & 7 Ave,7265
6 Ave & W 34 St,7210
W 41 St & 8 Ave,6998
Broadway & W 25 St,6913
E 40 St & Park Ave,6859
Norfolk St & Broome St,6800
1 Ave & E 16 St,6787
8 Ave & W 38 St,6783
Grand St & Elizabeth St,6739
W 22 St & 10 Ave,6705
E 13 St & Avenue A,6657
10 Ave & W 28 St,6627
1 Ave & E 18 St,6614
West St & Chambers St,6596
W 26 St & 8 Ave,6575
8 Ave & W 31 St,6564
E 27 St & 1 Ave,6564
W 27 St & 7 Ave,6520
W 43 St & 10 Ave,6383
8 Ave & W 16 St,6302
1 Ave & E 78 St,6261
Carmine St & 6 Ave,6144
Greenwich Ave & 8 Ave,6015
E 7 St & Avenue A,5973
Columbus Ave & W 72 St,5972
W 24 St & 7 Ave,5962
Amsterdam Ave & W 73 St,5868
E 20 St & 2 Ave,5818
E 13 St & 2 Ave,5755
Forsyth St\t& Grand St,5749
1 Ave & E 62 St,5720
W 15 St & 6 Ave,5685
Lafayette St & E 8 St,5676
E 2 St & Avenue C,5651
9 Ave & W 45 St,5642
Grand Army Plaza & Central Park S,5634
E 25 St & 2 Ave,5625
E 32 St & Park Ave,5606
2 Ave & E 29 St,5595
Canal St & Rutgers St,5565
Broadway & W 41 St,5484
W 20 St & 10 Ave,5462
W 20 St & 7 Ave,5449
8 Ave & W 49 St,5418
W 22 St & 8 Ave,5404
Broadway & W 29 St,5397
E 31 St & 3 Ave,5380
St Marks Pl & 2 Ave,5365
E 39 St & 2 Ave,5358
2 Ave & E 31 St,5350
W 70 St & Amsterdam Ave,5311
Central Park S & 6 Ave,5309
Amsterdam Ave & W 79 St,5307
West End Ave & W 60 St,5304
W 18 St & 6 Ave,5278
E 15 St & 3 Ave,5227
Christopher St & Greenwich St,5223
E 23 St & 1 Ave,5209
2 Ave & E 72 St,5197
West St & Liberty St,5139
Columbus Ave & W 95 St,5116
Cooper Square & Astor Pl,5100
E 72 St & York Ave,5082
W 33 St & 7 Ave,5080
E 2 St & Avenue B,5069
W 4 St & 7 Ave S,5041
Lexington Ave & E 24 St,5036
W 44 St & 11 Ave,5011
W 25 St & 6 Ave,5003
Henry St & Grand St,4991
W 42 St & 6 Ave,4951
W 30 St & 10 Ave,4949
E 16 St & 5 Ave,4935
E 11 St & 1 Ave,4927
7 Ave & Central Park South,4922
E 85 St & 3 Ave,4903
4 Ave & E 12 St,4903
W 45 St & 8 Ave,4890
E 10 St & Avenue A,4868
E 1 St & 1 Ave,4851
Broadway & W 56 St,4840
W 63 St & Broadway,4832
E 40 St & 5 Ave,4759
1 Ave & E 6 St,4743
Metropolitan Ave & Bedford Ave,4738
E 2 St & Avenue A,4738
E 19 St & 3 Ave,4731
6 Ave & W 45 St,4712
W 42 St & 8 Ave,4711
E 33 St & 5 Ave,4683
W 59 St & 10 Ave,4682
W 13 St & 7 Ave,4681
E 4 St & 2 Ave,4678
W 44 St & 5 Ave,4619
5 Ave & E 29 St,4599
W 54 St & 9 Ave,4598
Allen St & Stanton St,4592
Allen St & Rivington St,4564
Lafayette St & Jersey St,4561
Central Park West & W 72 St,4514
E 14 St & Avenue B,4501
W 13 St & 5 Ave,4472
Central Park West & W 68 St,4427
W 54 St & 11 Ave,4400
Bleecker St & Crosby St,4374
8 Ave & W 52 St,4371
W 29 St & 9 Ave,4368
Suffolk St & Stanton St,4309
Great Jones St,4288
W 55 St & 6 Ave,4268
Wythe Ave & Metropolitan Ave,4268
W 37 St & 10 Ave,4256
W 50 St & 10 Ave,4251
W 49 St & 8 Ave,4250
E 20 St & Park Ave,4250
Pier 40 - Hudson River Park,4229
Washington St & Gansevoort St,4210
E 47 St & Park Ave,4202
12 Ave & W 40 St,4179
Washington Pl & Broadway,4171
University Pl & E 8 St,4141
Mott St & Prince St,4139
E 74 St & 1 Ave,4130
Howard St & Lafayette St,4119
S 5 Pl & S 5 St,4112
E 11 St & 3 Ave,4104
Broadway & W 38 St,4103
Broadway & W 61 St,4096
Allen St & Hester St,4074
Central Park West & W 85 St,4063
E 44 St & Lexington Ave,4029
5 Ave & E 72 St,4027
Greenwich Ave & Charles St,4024
Centre St & Chambers St,4023
E 11 St & Avenue B,4013
W 20 St & 8 Ave,4008
Hanson Pl & Ashland Pl,4003
N 6 St & Bedford Ave,4002
E 39 St & Lexington Ave,3999
E 58 St & 3 Ave,3994
W 64 St & Thelonious Monk Circle,3967
W 16 St & The High Line,3935
Central Park North & Adam Clayton Powell Blvd,3903
Kent Ave & N 7 St,3898
W 47 St & 10 Ave,3890
LaGuardia Pl & W 3 St,3866
W 53 St & 10 Ave,3865
1 Ave & E 39 St,3864
W 11 St & 6 Ave,3861
Stanton St & Norfolk St,3810
FDR Drive & E 35 St,3803
Vesey Pl & River Terrace,3767
E 91 St & 2 Ave,3760
E 25 St & 1 Ave,3753
E 6 St & Avenue D,3729
Broadway & W 53 St,3717
Broadway\t& W 48 St,3703
Broadway & W 51 St,3688
W 67 St & Broadway,3686
Lexington Ave & E 26 St,3682
6 Ave & Broome St,3672
1 Ave & E 30 St,3671
Amsterdam Ave & W 82 St,3659
St Marks Pl & 1 Ave,3647
W 17 St & 8 Ave,3646
Stanton St & Chrystie St,3604
W 36 St & 9 Ave,3599
11 Ave & W 27 St,3577
11 Ave & W 59 St,3564
Forsyth St & Canal St,3521
E 41 St & Madison Ave (SE corner),3503
Barrow St & Hudson St,3482
Lexington Ave & E 29 St,3482
W 15 St & 7 Ave,3477
W 37 St & 5 Ave,3459
Rivington St & Ridge St,3453
Central Park W & W 91 St,3447
E 20 St & FDR Drive,3446
Washington Pl & 6 Ave,3426
North Moore St & Greenwich St,3414
Greenwich St & W Houston St,3403
Fulton St & Broadway,3389
Park Ave & E 124 St,3383
MacDougal St & Prince St,3369
Vesey St & Church St,3361
Murray St & Greenwich St,3354
